NERC,NERCNAME,NAMEPCAP,NRHTIAN,NRHTIOZ,NRHTIANT,NRHTIOZT,NRNGENAN,NRNGENOZ,NRNOXAN,NRNOXOZ,NRSO2AN,NRCO2AN,NRCH4AN,NRN2OAN,NRCO2EQA,NRHGAN,NRNOXRTA,NRNOXRTO,NRSO2RTA,NRCO2RTA,NRCH4RTA,NRN2ORTA,NRC2ERTA,NRHGRTA,NRNOXRA,NRNOXRO,NRSO2RA,NRCO2RA,NRHGRA,NRNOXCRT,NRNOXCRO,NRSO2CRT,NRCO2CRT,NRCH4CRT,NRN2OCRT,NRHGCRT,NRCNOXRT,NRONOXRT,NRGNOXRT,NRFSNXRT,NRCNXORT,NRONXORT,NRGNXORT,NRFSNORT,NRCSO2RT,NROSO2RT,NRGSO2RT,NRFSS2RT,NRCCO2RT,NROCO2RT,NRGCO2RT,NRFSC2RT,NRCHGRT,NRFSHGRT,NRCNOXR,NRONOXR,NRGNOXR,NRFSNXR,NRCNXOR,NRONXOR,NRGNXOR,NRFSNOR,NRCSO2R,NROSO2R,NRGSO2R,NRFSS2R,NRCCO2R,NROCO2R,NRGCO2R,NRFSC2R,NRCHGR,NRFSHGR,NRNBNOX,NRNBNXO,NRNBSO2,NRNBCO2,NRNBCH4,NRNBN2O,NRNBHG,NRGENACL,NRGENAOL,NRGENAGS,NRGENANC,NRGENAHY,NRGENABM,NRGENAWI,NRGENASO,NRGENAGT,NRGENAOF,NRGENAOP,NRGENATN,NRGENATR,NRGENATH,NRGENACY,NRGENACN,NRCLPR,NROLPR,NRGSPR,NRNCPR,NRHYPR,NRBMPR,NRWIPR,NRSOPR,NRGTPR,NROFPR,NROPPR,NRTNPR,NRTRPR,NRTHPR,NRCYPR,NRCNPR
ASCC,Alaska Systems Coordinating Council,"3,380","42,502,216","16,220,552","58,487,898","22,189,639","6,232,863","2,369,321","20,924","7,790","1,741","2,928,529","397,722","57,799","2,941,664",--,6.714,6.576,0.559,939.706,0.064,0.009,943.921,--,0.985,0.961,0.082,137.806,--,9.297,9.105,0.774,"1,301.189",0.088,0.013,--,1.353,16.596,8.786,9.238,1.070,16.240,8.792,8.974,1.655,2.862,0.030,0.775,"2,074.237","1,541.358","1,096.763","1,310.998",--,--,0.138,1.780,0.936,0.980,0.113,1.743,0.936,0.955,0.169,0.307,0.003,0.082,212.251,165.366,116.891,139.116,--,--,9.199,8.791,0.944,"1,394.824",0.103,0.015,--,"594,139","826,060","3,040,487",0,"1,562,251","43,017","169,301",0,0,0,"-2,392","4,458,294","1,774,569","212,318","4,501,311","1,731,552",9.5,13.2,48.8,0.0,25.1,0.7,2.7,0.0,0.0,0.0,0.0,71.5,28.5,3.4,72.2,27.8
FRCC,Florida Reliability Coordinating Council,"97,820","1,665,956,581","815,625,409","1,990,986,265","953,407,578","229,407,929","109,423,685","61,022","29,949","42,714","116,043,999","17,313,122","2,354,796","116,579,672",--,0.532,0.547,0.372,"1,011.683",0.075,0.010,"1,016.353",--,0.073,0.073,0.051,139.312,--,0.611,0.629,0.428,"1,162.496",0.087,0.012,--,1.423,1.923,0.241,0.529,1.456,2.068,0.262,0.563,1.649,0.249,0.025,0.425,"2,058.727","1,812.025",894.905,"1,183.524",--,--,0.135,0.135,0.032,0.064,0.137,0.142,0.035,0.067,0.156,0.017,0.003,0.052,195.001,127.053,119.472,143.661,--,--,0.594,0.613,0.434,"1,188.485",0.078,0.011,--,"36,790,858","2,814,817","152,730,471","29,320,022","174,551","5,615,419",0,"267,071",0,"19,074","1,675,646","223,350,888","6,057,041","5,882,490","199,646,285","29,761,644",16.0,1.2,66.6,12.8,0.1,2.4,0.0,0.1,0.0,0.0,0.7,97.4,2.6,2.6,87.0,13.0
HICC,Hawaiian Islands Coordinating Council,"3,222","92,598,221","39,645,315","102,555,757","44,198,317","9,948,845","4,316,642","22,345","9,128","37,332","7,571,577","1,562,895","240,099","7,625,203",--,4.492,4.229,7.505,"1,522.102",0.157,0.024,"1,532.882",--,0.483,0.461,0.806,163.536,--,5.038,4.744,8.417,"1,707.184",0.176,0.027,--,1.083,5.967,0.000,5.084,,5.830,0.000,4.806,14.236,7.729,0.000,8.905,"2,257.710","1,603.690",0.000,"1,721.957",--,--,0.100,0.608,0.000,0.509,,0.596,0.000,0.483,1.314,0.788,0.000,0.891,208.432,163.448,0.000,172.262,--,--,6.402,6.247,7.075,"1,605.470",0.151,0.024,--,"1,497,380","6,640,316",0,0,"90,849","556,329","639,127","88,511","260,102","63,380","112,852","8,313,927","1,634,918","1,544,069","8,870,256","1,078,589",15.1,66.7,0.0,0.0,0.9,5.6,6.4,0.9,2.6,0.6,1.1,83.6,16.4,15.5,89.2,10.8
MRO,Midwest Reliability Organization,"82,126","1,388,890,444","642,192,731","2,204,560,702","952,854,862","222,684,938","95,909,131","114,755","50,217","158,524","135,918,532","24,856,154","4,467,041","136,860,050",--,1.031,1.047,1.424,"1,220.725",0.112,0.020,"1,229.181",--,0.165,0.156,0.228,195.722,--,1.659,1.685,2.291,"1,964.548",0.180,0.032,--,1.758,2.630,0.438,1.586,1.692,2.500,0.464,1.508,2.674,1.060,0.113,2.330,"2,182.364",997.324,995.881,"2,021.001",--,--,0.170,0.400,0.052,0.158,0.164,0.368,0.054,0.150,0.259,0.161,0.013,0.232,211.159,151.772,118.891,200.861,--,--,1.477,1.390,1.944,"1,779.983",0.150,0.028,--,"114,629,708","473,531","18,765,615","27,914,072","11,793,403","3,906,848","44,588,553","17,639",0,"82,668","512,899","162,378,493","60,306,444","48,513,041","138,371,269","84,313,667",51.5,0.2,8.4,12.5,5.3,1.8,20.0,0.0,0.0,0.0,0.2,72.9,27.1,21.8,62.1,37.9
NA,No NERC region,314,"50,865","16,419","945,456","339,859","102,171","36,736",85,27,7,"4,154",336,67,"4,168",--,1.654,1.485,0.144,81.310,0.003,0.001,81.584,--,3.323,3.323,0.290,163.326,--,32.069,28.793,2.799,"1,576.387",0.064,0.013,--,,32.069,,32.069,,32.074,,32.074,,2.799,,2.799,,"1,576.387",,"1,576.387",--,--,,3.323,,3.323,,3.323,,3.323,,0.290,,0.290,,163.326,,163.326,--,--,32.069,32.074,2.799,"1,576.387",0.064,0.013,--,0,"5,270",0,0,"96,901",0,0,0,0,0,0,"5,270","96,901",0,"5,270","96,901",0.0,5.2,0.0,0.0,94.8,0.0,0.0,0.0,0.0,0.0,0.0,5.2,94.8,0.0,5.2,94.8
NPCC,Northeast Power Coordinating Council,"97,261","1,085,984,480","549,135,392","2,236,271,379","1,012,836,512","241,854,386","110,168,443","44,058","20,969","15,937","61,176,491","13,805,869","1,800,562","61,600,457",--,0.364,0.381,0.132,505.895,0.057,0.007,509.401,--,0.081,0.076,0.029,112.665,--,0.689,0.719,0.249,956.113,0.108,0.014,--,1.539,1.127,0.267,0.363,1.497,1.085,0.279,0.375,3.925,0.415,0.036,0.202,"2,137.530","1,251.464",902.256,967.841,--,--,0.147,0.110,0.035,0.046,0.143,0.105,0.036,0.047,0.376,0.041,0.005,0.026,204.630,122.210,118.947,123.435,--,--,0.628,0.601,0.360,"1,040.948",0.064,0.008,--,"4,314,380","1,332,385","110,094,164","74,321,963","32,083,819","11,948,776","6,586,186","893,247",0,"149,108","130,356","190,342,356","51,512,028","19,428,209","127,969,169","113,885,214",1.8,0.6,45.5,30.7,13.3,4.9,2.7,0.4,0.0,0.1,0.1,78.7,21.3,8.0,52.9,47.1
RFC,Reliability First Corporation,"322,697","5,794,829,249","2,716,501,184","9,001,345,714","4,017,129,108","923,709,999","409,347,166","381,083","165,659","482,631","510,088,974","80,817,200","14,581,366","513,195,283",--,0.825,0.809,1.045,"1,104.435",0.087,0.016,"1,111.161",--,0.132,0.122,0.167,176.050,--,1.238,1.214,1.568,"1,656.920",0.131,0.024,--,1.683,1.840,0.270,1.153,1.576,1.691,0.294,1.086,2.530,0.853,0.071,1.582,"2,162.854","1,559.537",920.015,"1,687.887",--,--,0.161,0.162,0.035,0.123,0.149,0.150,0.038,0.114,0.242,0.075,0.009,0.168,206.720,137.729,120.388,179.485,--,--,1.391,1.297,1.981,"1,775.806",0.137,0.025,--,"363,193,125","3,597,456","231,761,882","275,782,450","6,741,779","10,792,506","24,372,407","1,467,739",0,"6,028,251","334,257","880,697,420","43,374,431","36,632,652","615,707,476","308,364,375",39.3,0.4,25.1,29.8,0.7,1.2,2.6,0.2,0.0,0.7,0.0,95.3,4.7,4.0,66.6,33.4
SERC,SERC Reliability Corporation,"368,670","6,884,052,707","3,331,208,171","10,264,918,871","4,751,358,943","1,095,680,923","504,078,973","358,316","164,544","421,711","567,033,245","81,477,119","14,812,558","570,173,941",--,0.654,0.653,0.770,"1,035.034",0.074,0.014,"1,040.766",--,0.104,0.099,0.123,164.738,--,0.929,0.927,1.093,"1,469.622",0.106,0.019,--,1.421,0.779,0.366,0.895,1.325,0.584,0.393,0.862,2.082,0.269,0.059,1.067,"2,129.757","1,043.895",895.104,"1,511.170",--,--,0.136,0.138,0.049,0.100,0.126,0.118,0.051,0.095,0.199,0.048,0.008,0.119,203.599,185.315,119.363,168.579,--,--,0.992,0.953,1.180,"1,511.998",0.106,0.019,--,"355,914,524","4,389,257","384,078,635","287,119,277","28,467,984","23,012,611","4,004,379","4,416,870",0,"3,078,868","1,198,518","1,035,779,080","59,901,844","31,433,860","771,672,414","324,008,510",32.5,0.4,35.1,26.2,2.6,2.1,0.4,0.4,0.0,0.3,0.1,94.5,5.5,2.9,70.4,29.6
SPP,Southwest Power Pool,"93,254","1,684,653,507","834,970,032","2,226,819,355","1,045,048,498","232,265,415","108,195,828","94,859","47,364","145,737","147,592,118","25,003,486","3,750,553","148,435,990",--,0.817,0.876,1.255,"1,270.892",0.108,0.016,"1,278.158",--,0.113,0.113,0.173,175.220,--,1.086,1.164,1.669,"1,689.968",0.143,0.021,--,1.369,53.220,0.643,1.085,1.372,47.366,0.708,1.103,2.844,2.852,0.020,1.662,"2,253.772","4,851.952",961.464,"1,714.398",--,--,0.126,1.755,0.079,0.112,0.126,1.642,0.085,0.113,0.262,0.094,0.002,0.171,207.764,160.016,118.412,176.543,--,--,1.259,1.283,1.972,"1,708.232",0.136,0.020,--,"93,506,291","3,066,776","75,032,292","8,246,042","5,745,024","2,457,597","43,491,549","114,302",0,"379,297","226,244","180,456,942","51,808,472","46,063,448","174,668,497","57,596,917",40.3,1.3,32.3,3.6,2.5,1.1,18.7,0.0,0.0,0.2,0.1,77.7,22.3,19.8,75.2,24.8
TRE,Texas Regional Entity,"156,271","2,411,729,657","1,234,737,165","3,351,124,666","1,611,138,364","382,787,775","183,455,953","105,372","52,990","201,819","194,209,916","29,650,218","4,187,412","195,166,756",--,0.551,0.578,1.054,"1,014.713",0.077,0.011,"1,019.713",--,0.087,0.086,0.167,161.054,--,0.735,0.771,1.407,"1,353.852",0.103,0.015,--,1.232,3.981,0.419,0.708,1.224,4.651,0.415,0.711,3.920,1.690,0.007,1.410,"2,298.299","2,297.627",841.772,"1,360.705",--,--,0.114,0.296,0.059,0.084,0.113,0.288,0.058,0.084,0.362,0.126,0.001,0.168,212.520,171.052,118.592,161.852,--,--,0.762,0.758,1.635,"1,415.704",0.110,0.016,--,"101,006,613","178,137","182,135,317","42,079,445","1,173,035","1,085,421","51,932,936","702,602",0,"1,838,399","655,870","327,893,781","54,893,994","53,720,959","286,899,757","95,888,018",26.4,0.0,47.6,11.0,0.3,0.3,13.6,0.2,0.0,0.5,0.2,85.7,14.3,14.0,75.0,25.0
WECC,Western Electricity Coordinating Council,"289,992","3,630,195,389","1,686,241,227","6,746,413,854","3,009,581,604","730,647,398","329,396,932","266,228","119,048","118,077","291,921,795","49,148,305","7,298,217","293,568,941",--,0.729,0.723,0.323,799.077,0.067,0.010,803.586,--,0.147,0.141,0.065,160.830,--,1.325,1.314,0.588,"1,452.867",0.122,0.018,--,2.158,7.219,0.513,1.243,2.139,9.550,0.491,1.183,1.297,0.391,0.008,0.575,"2,244.733",323.031,891.867,"1,485.001",--,--,0.199,3.785,0.068,0.138,0.198,4.714,0.065,0.133,0.120,0.205,0.001,0.064,207.118,169.364,118.062,165.288,--,--,1.180,1.111,0.451,"1,338.027",0.096,0.014,--,"167,701,637","870,836","219,817,458","60,910,677","173,196,430","10,321,405","51,141,949","27,976,997","15,565,705","2,250,024","894,931","452,445,561","278,202,487","105,006,056","401,856,289","328,791,759",23.0,0.1,30.1,8.3,23.7,1.4,7.0,3.8,2.1,0.3,0.1,61.9,38.1,14.4,55.0,45.0
